target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
gen,general,1,43,18,4,9,Coutino,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,0.0,1 3 4 7 8 9 10 12 16,0.0010665000008884817,,,,u_g,max,201.9294412289755,48620
gen,general,1,43,18,4,9,MISO-EE,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,0.0,1 3 4 7 8 9 10 12 16,0.0023549999750684947,,,,u_g,max,201.9294412289755,48620
gen,general,1,43,18,4,9,Pareto-H2,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,82.09188714093887,4 5 6 7 8 14 15 16 17,0.0024326000129804015,,,,u_g,max,36.16175223095645,48620
gen,general,1,43,18,4,9,H3-threshold-BF,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,7.724032127202931,0 3 4 7 8 9 10 12 16,0.0007707999902777374,,,,u_g,max,186.33234631416806,48620
gen,general,1,43,18,4,9,H3-threshold-Int,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,82.09188714093887,4 5 6 7 8 14 15 16 17,0.002529300021706149,,,,u_g,max,36.16175223095645,48620
gen,general,1,43,18,4,9,H3-threshold-Gen,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,7.724032127202931,0 3 4 7 8 9 10 12 16,0.0031374999962281436,,,,u_g,max,186.33234631416806,48620
gen,general,1,43,18,4,9,Frame-BF,9,True,18.46793389341031,103.8419000733545,177.8316193197471,True,True,11.933783287154725,0 1 3 7 8 9 10 12 16,0.03466619999380782,,,,u_g,max,177.8316193197471,48620
gen,general,1,43,18,4,9,Frame-Int,9,True,5.757734782296783,0.6502092012394378,31.09272285756875,True,True,84.602184471797,2 4 6 7 8 14 15 16 17,0.030763600021600723,,,,u_g,max,31.09272285756875,48620
gen,general,1,43,18,4,9,Frame-Gen,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,0.0,1 3 4 7 8 9 10 12 16,0.049322000006213784,,,,u_g,max,201.9294412289755,48620
gen,general,1,43,18,4,9,H3-Fast,9,True,5.686423006317458,2.1491344808342845,27.373166810184102,True,True,86.44419226657266,0 1 2 6 11 13 14 15 17,0.0012180999910924584,,,,u_g,max,27.373166810184102,48620
bf,bf,2,44,18,4,9,Gurobi-BF,9,True,10.18634457569466,13.771217780499754,81.01212985549202,True,True,0.0,0 1 3 4 5 9 10 12 14,4.08382589998655,3.3480044000025373,0.7358214999840129,0.021690199995646253,u_bf,max,10.18634457569466,48620
